,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Sequel
5420,Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34,,,,,,,0
5421,My Baby Boy,DS,2008,Simulation,Nobilis,0.3,0.01,0.0,0.03,0.34,,,tbd,,Dancing Dots,E,0
5422,Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.0,0.03,0.02,0.34,82.0,41.0,8.7,32.0,1st Playable Productions,E10+,0
5423,Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52.0,8.0,6.5,8.0,Omega Force,T,1
5424,Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix,0.14,0.01,0.16,0.02,0.34,75.0,37.0,7.1,26.0,TOSE,T,1
5425,Imagine: Movie Star,DS,2008,Simulation,Ubisoft,0.31,0.0,0.0,0.03,0.34,,,tbd,,"Ubisoft, Powerhead Games",E,1
5426,Fade to Black,PS,1996,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34,,,,,,,0
5427,MXRider,PS2,2001,Racing,Atari,0.16,0.13,0.0,0.04,0.34,69.0,16.0,6.8,6.0,Paradigm Entertainment,E,0
5428,Disney Magic World 2,3DS,2015,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,,,,,,,0
5429,Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0.0,0.01,0.34,61.0,37.0,6.6,19.0,Climax Group,T,0
5430,Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34,58.0,42.0,5.3,21.0,Eurocom Entertainment Software,T,0
5431,Angry Birds Star Wars,3DS,2013,Strategy,Activision,0.15,0.15,0.0,0.03,0.34,,,3,8.0,Exient Entertainment,E,0
5432,World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0.0,0.04,0.34,67.0,20.0,tbd,,Point of View,T,1
5433,The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.33,75.0,43.0,8.2,51.0,SCEJ,T,0
5434,Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios,0.0,0.0,0.33,0.0,0.33,,,,,,,0
5435,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,14.0,6,27.0,Ubisoft Shanghai,T,1
5436,Iron Man 2,DS,2010,Action,Sega,0.14,0.16,0.0,0.03,0.33,54.0,7.0,tbd,,Sega Studios San Francisco,E10+,1
5437,Tokyo Highway Battle,PS,1996,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33,,,,,,,0
5438,NHL 09,PS3,2008,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.33,88.0,25.0,7.7,41.0,EA Canada,E10+,0
5439,World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,74.0,8.3,222.0,Square Enix,E10+,0
5440,Beyond Good & Evil,PS2,2003,Adventure,Ubisoft,0.16,0.13,0.0,0.04,0.33,,,,,,,0
5441,Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,0.24,0.09,0.0,0.01,0.33,72.0,21.0,8.1,18.0,Rare Ltd.,E,0
5442,Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02,0.33,,,,,,,0
5443,Bejeweled 3,DS,,Puzzle,Unknown,0.29,0.02,0.0,0.02,0.33,75.0,9.0,tbd,,PopCap,E,0
5444,NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,"EA Canada, EA Vancouver",E10+,0
5445,Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33,78.0,27.0,8.6,32.0,Inti Creates,E10+,1
5446,Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,0.17,0.13,0.0,0.03,0.33,,,,,,,1
5447,NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,EA Canada,E,0
5448,Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33,,,,,,,0
5449,Jeanne d'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33,87.0,45.0,8.2,74.0,Level 5,T,0
5450,Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,0.19,0.13,0.0,0.02,0.33,,,,,,,1
5451,Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,,,,,,,1
5452,Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment,0.12,0.18,0.0,0.04,0.33,,,tbd,,Fizz Factor,E,0
5453,Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33,44.0,31.0,5.4,24.0,EA Bright Light,T,0
5454,Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0.0,0.03,0.33,64.0,9.0,6.4,7.0,TOSE,E,0
5455,Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51.0,48.0,5.8,4.0,Shift,E10+,0
5456,WWE Wrestlemania XIX,GC,2003,Fighting,THQ,0.26,0.07,0.0,0.01,0.33,76.0,26.0,8.7,47.0,Yuke's,T,0
5457,The Sims 2,GC,2005,Simulation,Electronic Arts,0.26,0.07,0.0,0.01,0.33,73.0,22.0,8.3,8.0,Maxis,T,1
5458,Hulk,XB,2003,Action,Universal Interactive,0.25,0.07,0.0,0.01,0.33,69.0,25.0,7.7,9.0,Radical Entertainment,T,0
5459,Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft,0.14,0.12,0.0,0.08,0.33,65.0,46.0,8.3,28.0,Sony Online Entertainment,T,0
5460,Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,91.0,18.0,9.1,72.0,Namco,E,0
5461,Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive,0.25,0.07,0.0,0.01,0.33,84.0,50.0,7.6,37.0,Ion Storm,M,0
5462,Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,,,tbd,,Bizarre Creations,E,0
5463,NASCAR Thunder 2002,XB,2001,Racing,Electronic Arts,0.25,0.07,0.0,0.01,0.33,82.0,17.0,tbd,,EA Tiburon,E,0
5464,The King of Fighters XIII,X360,2011,Fighting,Rising Star Games,0.23,0.06,0.01,0.03,0.33,79.0,31.0,8.2,51.0,SNK Playmore,T,1
5465,BeatMania Append GottaMix,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33,,,,,,,1
5466,Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0.0,0.01,0.33,75.0,22.0,8.6,8.0,Avalanche Software,E,0
5467,Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0.0,0.04,0.33,63.0,60.0,6.2,45.0,Day 1 Studios,T,0
5468,Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,68.0,65.0,6.8,55.0,From Software,M,0
5469,Bookworm,DS,2009,Puzzle,PopCap Games,0.3,0.01,0.0,0.02,0.33,80.0,5.0,tbd,,PopCap,E,0
5470,LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06,0.33,62.0,9.0,6.7,46.0,TT Games,E10+,0
5471,Bee Movie Game,Wii,2007,Action,Activision,0.3,0.01,0.0,0.03,0.33,62.0,16.0,7.6,7.0,Smart Bomb Interactive,E,0
5472,Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0.0,0.04,0.33,77.0,19.0,8.4,15.0,Treyarch,E,0
5473,Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,15.0,6,82.0,City Interactive,M,1
5474,Shrek SuperSlam,GBA,2005,Action,Activision,0.24,0.09,0.0,0.01,0.33,58.0,4.0,tbd,,"Amaze Entertainment, Griptonite Games",E10+,0
5475,Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0.0,0.04,0.33,59.0,15.0,6.7,6.0,Acclaim,T,1
5476,World Stadium 3,PS,1999,Sports,Namco Bandai Games,0.0,0.0,0.31,0.02,0.33,,,,,,,0
5477,LEGO Pirates of the Caribbean: The Video Game,PSP,2011,Action,Disney Interactive Studios,0.12,0.13,0.0,0.08,0.33,67.0,5.0,tbd,,Traveller's Tales,E10+,0
5478,Extra Bases,GB,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,,,,,,,0
5479,Super Power League 2,SNES,1994,Sports,Hudson Soft,0.0,0.0,0.33,0.0,0.33,,,,,,,1
5480,Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0.0,0.03,0.33,70.0,43.0,6.2,15.0,Sumo Digital,E,0
5481,Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33,80.0,35.0,8,27.0,Capcom,T,0
5482,MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,79.0,7.0,7.5,12.0,SCEA San Diego Studios,E,0
5483,Cool Boarders 2001,PS2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,78.0,16.0,tbd,,Idol Minds,E,0
5484,Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0.0,0.0,0.03,0.33,,,,,,,0
5485,Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,0.17,0.06,0.09,0.01,0.33,74.0,10.0,8.6,12.0,Konami,E,0
5486,Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0.0,0.16,0.33,,,,,,,0
5487,Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,0.33,83.0,32.0,9,21.0,EA Chicago,T,0
5488,GT Advance Championship Racing,GBA,2001,Racing,THQ,0.24,0.09,0.0,0.01,0.33,82.0,10.0,tbd,,MTO,E,0
5489,Way of the Samurai 2,PS2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,59.0,32.0,9,24.0,Acquire,M,1
5490,Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33,86.0,25.0,8.2,15.0,Intelligent Systems,E,0
5491,BattleTanx,N64,1998,Action,3DO,0.26,0.06,0.0,0.0,0.33,,,,,,,0
5492,Custom Robo,N64,,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,,,,,,,0
5493,Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,35.0,8.6,84.0,Ubisoft Montreal,T,0
5494,Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0.0,0.03,0.33,60.0,4.0,5.4,9.0,Activision,T,0
5495,Hatsune Miku: Project Diva Extend,PSP,2011,Misc,Sega,0.0,0.0,0.33,0.0,0.33,,,,,,,1
5496,Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,0.18,0.12,0.0,0.02,0.33,,,,,,,1
5497,Disgaea 2: Cursed Memories,PS2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,84.0,54.0,6.4,42.0,Nippon Ichi Software,T,0
5498,Clock Tower 3,PS2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,69.0,28.0,7.6,38.0,SunSoft,M,0
5499,Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33,,,,,,,0
5500,Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.19,0.02,0.09,0.02,0.33,75.0,30.0,8.5,37.0,"Lancarse, Atlus",T,0
5501,Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0.0,0.01,0.33,76.0,28.0,7.9,14.0,Treyarch,T,0
5502,Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,32.0,6.6,32.0,Arc System Works,T,0
5503,Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,Majesco Entertainment,0.17,0.13,0.0,0.03,0.33,54.0,8.0,tbd,,"Pipeworks Software, Inc.",E10+,0
5504,Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0.0,0.04,0.33,84.0,42.0,8.9,74.0,Nippon Ichi Software,T,0
5505,NeoGeo Battle Coliseum,PS2,2005,Fighting,Ignition Entertainment,0.16,0.13,0.0,0.04,0.33,66.0,21.0,8.8,6.0,SNK Playmore,T,0
5506,Resonance of Fate,X360,2010,Role-Playing,Sega,0.12,0.13,0.06,0.03,0.33,74.0,43.0,7.7,96.0,Tri-Ace,T,0
5507,Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,Electronic Arts,0.17,0.13,0.0,0.03,0.33,47.0,6.0,6.6,5.0,EA Bright Light,T,0
5508,We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0.0,0.29,0.0,0.04,0.33,,,,,,,1
5509,SpongeBob SquarePants: Creature from the Krusty Krab,GC,2006,Platform,THQ,0.25,0.07,0.0,0.01,0.33,74.0,5.0,7.7,12.0,Blitz Games,E,1
5510,MLB 08: The Show,PSP,2008,Sports,Sony Computer Entertainment,0.3,0.0,0.0,0.02,0.33,83.0,14.0,8.4,12.0,SCEA San Diego Studios,E,1
5511,Parodius,PS,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33,,,,,,,0
5512,The X-Factor,Wii,2010,Misc,Deep Silver,0.0,0.28,0.0,0.04,0.33,,,,,,,0
5513,Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.33,62.0,4.0,7.7,6.0,Digital Eclipse,E,0
5514,Sakura Wars 3: Paris wa Moeteiru ka,DC,2001,Adventure,Sega,0.0,0.0,0.33,0.0,0.33,,,,,,,1
5515,Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,0.26,0.0,0.03,0.03,0.33,75.0,27.0,tbd,,"Capcom, Klein Computer Entertainment",T,0
5516,NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.33,69.0,9.0,tbd,,989 Sports,E,0
5517,Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,0.24,0.09,0.0,0.01,0.33,55.0,4.0,7.8,6.0,Natsume,E,1
5518,Naruto: Gekito Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation,0.0,0.0,0.32,0.01,0.33,,,,,,,1
5519,Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33,55.0,30.0,5.4,599.0,Danger Close,M,1
5520,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,,,,,,,0
5521,MVP Baseball 2005,GC,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,88.0,20.0,8.7,16.0,EA Sports,E,0
5522,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,0.0,0.0,0.33,0.0,0.33,,,,,,,0
5523,SSX Blur,Wii,2007,Sports,Electronic Arts,0.29,0.01,0.0,0.03,0.33,74.0,52.0,8.1,60.0,EA Montreal,E,0
5524,DX Game of Life 2,PS,1997,Misc,Takara,0.0,0.0,0.31,0.02,0.33,,,,,,,1
5525,Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80.0,55.0,8.1,235.0,Spike Chunsoft,M,0
5526,NBA Live 96,PS,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,,,,,,,0
5527,Harry Potter and the Half-Blood Prince,PS3,2009,Action,Electronic Arts,0.15,0.12,0.0,0.05,0.33,66.0,35.0,7.1,17.0,EA Bright Light,E10+,0
5528,Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.16,0.0,0.05,0.33,,,8.3,111.0,Creative Assembly,M,0
5529,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,0.0,0.0,0.33,0.0,0.33,,,,,,,1
5530,Teen Titans,GC,2006,Action,THQ,0.25,0.07,0.0,0.01,0.33,63.0,11.0,6.9,11.0,Artificial Mind and Movement,E10+,0
5531,Def Jam Rapstar,Wii,2010,Misc,Konami Digital Entertainment,0.29,0.02,0.0,0.02,0.33,65.0,5.0,tbd,,"Terminal Reality, 4mm Games",T,0
5532,MX vs. ATV Untamed,Wii,2008,Racing,THQ,0.28,0.02,0.0,0.02,0.33,70.0,7.0,8.3,9.0,Rainbow Studios,E,0
5533,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33,,,,,,,1
5534,Binary Domain,PS3,2012,Action,Sega,0.09,0.07,0.14,0.03,0.33,72.0,33.0,8.2,179.0,Sega,M,0
5535,NBA Live 06,GC,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,76.0,14.0,tbd,,EA Canada,E,0
5536,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33,,,,,,,0
5537,Dr. Mario / Puzzle League,GBA,2005,Puzzle,Nintendo,0.12,0.04,0.16,0.01,0.33,74.0,14.0,tbd,,Intelligent Systems,E,0
5538,Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher,0.31,0.0,0.0,0.02,0.33,,,tbd,,D3Publisher,E10+,1
5539,DECA Sports Freedom,X360,2010,Sports,Hudson Soft,0.27,0.04,0.0,0.02,0.33,26.0,16.0,3.7,9.0,AI,E10+,0
5540,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,Tomy Corporation,0.0,0.0,0.3,0.02,0.33,,,,,,,0
5541,NBA 2K10,PSP,2009,Sports,Take-Two Interactive,0.3,0.0,0.0,0.03,0.33,,,8.1,13.0,Visual Concepts,E,1
5542,Major League Baseball 2K6,XB,2006,Sports,Take-Two Interactive,0.24,0.07,0.0,0.01,0.33,71.0,21.0,5.7,12.0,Kush Games,E,0
5543,Golden Axe: Beast Rider,X360,2008,Action,Sega,0.19,0.11,0.0,0.03,0.33,45.0,33.0,5.8,33.0,Secret Level,M,0
5544,Pinball Hall of Fame: The Gottlieb Collection,PS2,2004,Misc,Play It,0.16,0.12,0.0,0.04,0.33,,,,,,,0
5545,EA Playground,DS,2007,Sports,Electronic Arts,0.29,0.01,0.0,0.03,0.33,60.0,8.0,7.6,13.0,Piranha Games,E,0
5546,Buzz! The Ultimate Music Quiz,PS3,2010,Misc,Sony Computer Entertainment,0.0,0.25,0.0,0.08,0.33,,,,,,,0
5547,Discovery Kids: Puppy Playtime,DS,2009,Simulation,505 Games,0.3,0.0,0.0,0.02,0.33,,,tbd,,505 Games,E,0
5548,The Witcher: Enhanced Edition,PC,2008,Role-Playing,Atari,0.32,0.01,0.0,0.0,0.32,86.0,30.0,8.5,1660.0,CD Projekt Red Studio,M,1
5549,Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004,Action,Konami Digital Entertainment,0.23,0.09,0.0,0.01,0.32,65.0,9.0,tbd,,Konami,E,1
5550,Nicktoons: Movin',PS2,2004,Action,THQ,0.16,0.12,0.0,0.04,0.32,,,tbd,,Mass Media,E,0
5551,Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo,0.17,0.13,0.0,0.03,0.32,65.0,26.0,8.2,5.0,Sanzaru Games,E,0
5552,Chicken Riot,Wii,2010,Action,City Interactive,0.14,0.15,0.0,0.03,0.32,,,tbd,,City Interactive,T,0
5553,One Piece: Romance Dawn - Bouken no Yoake,PSP,2012,Fighting,Namco Bandai Games,0.0,0.0,0.32,0.0,0.32,,,,,,,0
5554,Might & Magic Heroes VI,PC,2011,Role-Playing,Ubisoft,0.13,0.14,0.0,0.05,0.32,,,,,,,0
5555,Iron Man 2,Wii,2010,Action,Sega,0.15,0.15,0.0,0.03,0.32,41.0,11.0,4.6,12.0,High Voltage Software,T,1
5556,SWAT: Global Strike Team,PS2,2003,Shooter,Vivendi Games,0.16,0.12,0.0,0.04,0.32,69.0,21.0,7.8,16.0,Argonaut Games,M,0
5557,NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0.0,0.0,0.02,0.32,75.0,22.0,tbd,,EA Canada,E,0
5558,Championship Bass,PS,1999,Sports,Electronic Arts,0.18,0.12,0.0,0.02,0.32,,,,,,,0
5559,The Adventures of Tintin: The Game,Wii,2011,Action,Ubisoft,0.12,0.16,0.0,0.04,0.32,,,5.7,6.0,Ubisoft Montpellier,E10+,0
5560,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.11,0.01,0.03,0.32,76.0,48.0,7.4,41.0,Eidos Interactive,T,1
5561,Elebits,Wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02,0.32,75.0,46.0,7.4,33.0,Konami,E,0
5562,Style Lab: Jewelry Design,DS,2009,Simulation,Ubisoft,0.3,0.0,0.0,0.02,0.32,,,tbd,,Ubisoft,E,0
5563,Def Jam Rapstar,PS3,2010,Misc,Konami Digital Entertainment,0.25,0.04,0.0,0.03,0.32,75.0,25.0,6.3,4.0,"Terminal Reality, 4mm Games",T,0
5564,Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,32.0,8.5,71.0,Sega,E10+,1
5565,Just Dance 2016,XOne,2015,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,10.0,6.1,18.0,Ubisoft,E10+,0
5566,Golden Axe: Beast Rider,PS3,2008,Action,Sega,0.13,0.14,0.0,0.06,0.32,44.0,30.0,5.6,23.0,Secret Level,M,0
5567,Dead Space 2,PC,2011,Shooter,Electronic Arts,0.13,0.15,0.0,0.04,0.32,87.0,28.0,8.3,974.0,Visceral Games,M,1
5568,NHL Breakaway 98,N64,1998,Sports,Acclaim Entertainment,0.3,0.02,0.0,0.0,0.32,,,,,,,0
5569,Momotarou Dentetsu 20-Shuunen,DS,2008,Misc,Hudson Soft,0.0,0.0,0.32,0.0,0.32,,,,,,,0
5570,Bratz: Girlz Really Rock,DS,2008,Action,THQ,0.18,0.11,0.0,0.03,0.32,,,tbd,,Blitz Games,E,1
5571,Minute to Win It,X360,2011,Misc,Zoo Games,0.3,0.0,0.0,0.02,0.32,,,tbd,,Smack Down Productions,E,0
5572,Kinetica,PS2,2001,Racing,Sony Computer Entertainment,0.16,0.12,0.0,0.04,0.32,77.0,21.0,8.3,21.0,SCE Santa Monica,T,0
5573,The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft,0.2,0.1,0.0,0.03,0.32,66.0,17.0,5.8,8.0,iNiS,T,0
5574,NBA Street V3,XB,2005,Sports,Electronic Arts,0.28,0.03,0.0,0.01,0.32,89.0,41.0,8.9,10.0,EA Canada,E,0
5575,Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32,,,,,,,0
5576,Dragon Quest Monsters 1?2,PS,2002,Role-Playing,Enix Corporation,0.0,0.0,0.3,0.02,0.32,,,,,,,1
5577,Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,Activision,0.25,0.05,0.0,0.03,0.32,50.0,8.0,5.2,16.0,n-Space,T,1
5578,Remember Me,PS3,2013,Action,Capcom,0.1,0.17,0.0,0.06,0.32,72.0,37.0,7.4,424.0,DONTNOD Entertainment,M,0
5579,Silent Hill: Downpour,X360,2012,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.02,0.32,68.0,38.0,7.3,269.0,Konami,M,0
5580,OverBlood,PS,1996,Action,Electronic Arts,0.05,0.04,0.21,0.02,0.32,,,,,,,0
5581,Dead Rising 2: Off the Record,PS3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.32,72.0,31.0,7.1,35.0,Capcom Vancouver,M,1
5582,ESPN X-Games Pro Boarder,PS,1997,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.32,,,,,,,0
5583,Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,18.0,7.2,128.0,Dimps Corporation,T,0
5584,Eternal Sonata,X360,2007,Role-Playing,Atari,0.19,0.04,0.08,0.02,0.32,79.0,56.0,7.9,97.0,Tri-Crescendo,T,0
5585,Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32,82.0,6.0,9.3,78.0,Victor Interactive Software,E,1
5586,Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03,0.32,76.0,39.0,7.9,95.0,Team Ninja,M,0
5587,Naruto: Ultimate Ninja (JP sales),PS2,2003,Fighting,Atari,0.0,0.0,0.32,0.0,0.32,,,,,,,0
5588,Final Fantasy XI,PS2,,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,85.0,49.0,6.9,66.0,Square Enix,T,1
5589,Dragon Ball Heroes: Ultimate Mission 2 ,3DS,2014,Strategy,Namco Bandai Games,0.0,0.0,0.32,0.0,0.32,,,,,,,1
5590,Overlord II,X360,2009,Action,Codemasters,0.15,0.14,0.0,0.03,0.32,75.0,60.0,7.2,46.0,Triumph Studios,T,1
5591,Madden NFL 09,DS,2008,Sports,Electronic Arts,0.3,0.0,0.0,0.02,0.32,,,7.8,4.0,Exient Entertainment,E,0
5592,Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,0.3,0.0,0.0,0.02,0.32,74.0,26.0,8.8,5.0,Konami,E10+,0
5593,"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,Action,Take-Two Interactive,0.16,0.12,0.0,0.04,0.32,,,,,,,0
5594,Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0.0,0.28,0.0,0.05,0.32,91.0,29.0,8.7,1736.0,Rocksteady Studios,T,0
5595,"Warhammer 40,000: Squad Command",PSP,2007,Strategy,THQ,0.11,0.13,0.0,0.08,0.32,67.0,25.0,7.6,26.0,RedLynx,T,0
5596,Darkwatch,PS2,2005,Shooter,Ubisoft,0.16,0.12,0.0,0.04,0.32,74.0,37.0,8.4,42.0,High Moon Studios,M,0
5597,Tony Hawk's American Wasteland,X360,2005,Sports,Activision,0.28,0.01,0.0,0.03,0.32,75.0,43.0,7.2,21.0,Neversoft Entertainment,T,0
5598,Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.02,0.32,73.0,52.0,7,40.0,Now Production,E,0
5599,Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010,Platform,D3Publisher,0.22,0.08,0.0,0.03,0.32,,,tbd,,Griptonite Games,E10+,0
5600,Pony Friends 2,DS,2009,Simulation,Eidos Interactive,0.21,0.09,0.0,0.03,0.32,,,tbd,,Tantalus Interactive,E,1
